Strain,TG Control,Chol Control,HDL Control,UC Control,FFA Control,Glucose Control,Fibrosis Control,TG ISO,Chol ISO,HDL ISO,UC ISO,FFA ISO,Glucose ISO,Fibrosis ISO,Death ISO,TH Ctrl,LV Ctrl,RV Ctrl,LA Ctrl,RA Ctrl,Lung Ctrl,Liver Ctrl,Adrenal Ctrl,TH ISO,LV ISO,RV ISO,LA ISO,RA ISO,Lung ISO,Liver ISO,Adrenal ISO,wTH Ctrl,wLV Ctrl,wRV Ctrl,wLA Ctrl,wRA Ctrl,wLung Ctrl,wLiver Ctrl,wAdrenal Ctrl,wTH ISO,wLV ISO,wRV ISO,wLA ISO,wRA ISO,wLung ISO,wLiver ISO,wAdrenal ISO,Heart Rate Day 0,IVSd Day 0,LVIDd Day 0,PWd Day 0,IVSs Day 0,LVIDs Day 0,PWs Day 0,ET Day 0,E day 0,A day 0,E/A day 0,A/E day 0,FS day 0,IVS/PWd day 0,IVS/PWs day 0,RWTd day 0,PWTH day 0,Vold day 0,Vols day 0,EF day 0,LVM day 0,LVMc day 0,Vcf day 0,MSNER day 0,Heart Rate Day 7,IVSd Day 7,LVIDd Day 7,PWd Day 7,IVSs Day 7,LVIDs Day 7,PWs Day 7,ET Day 7,E day 7,A day 7,E/A day 7,A/E day 7,FS day 7,IVS/PWd day 7,IVS/PWs day 7,RWTd day 7,PWTH day 7,Vold day 7,Vols day 7,EF day 7,LVM day 7,LVMc day 7,Vcf day 7,MSNER day 7,Heart Rate Day 14,IVSd Day 14,LVIDd Day 14,PWd Day 14,IVSs Day 14,LVIDs Day 14,PWs Day 14,ET Day 14,E day 14,A day 14,E/A day 14,A/E day 14,FS day 14,IVS/PWd day 14,IVS/PWs day 14,RWTd day 14,PWTH day 14,Vold day 14,Vols day 14,EF day 14,LVM day 14,LVMc day 14,Vcf day 14,MSNER day 14,Heart Rate Day 21,IVSd Day 21,LVIDd Day 21,PWd Day 21,IVSs Day 21,LVIDs Day 21,PWs Day 21,ET Day 21,E day 21,A day 21,E/A day 21,A/E day 21,FS day 21,IVS/PWd day 21,IVS/PWs day 21,RWTd day 21,PWTH day 21,Vold day 21,Vols day 21,EF day 21,LVM day 21,LVMc day 21,Vcf day 21,MSNER day 21
NOD/LtJ,19,119,91,22,36,159,0.011778078,39,117,86,20,30,131,0.061198177,0,0.098333333,0.07,0.010766667,0.0028,0.0028,0.133333333,0.933333333,0.012666667,0.143666667,0.100333333,0.013333333,0.004333333,0.002933333,0.182266667,1.11,0.012,0.004573643,0.003255814,0.000500775,0.000130241,0.000130243,0.00620155,0.043410853,0.000589147,0.006404585,0.004474533,0.000597122,0.000191779,0.000131378,0.00815882,0.049657812,0.000536113,514.2,0.683,3.817,0.685,0.919,2.648,0.922,50.5,1240.579,564.061,2.22,0.477,30.9885,1.004,1.01,0.365,34.8875,63.7445,26.9195,59.1055,87.1405,69.712,0.58,1.12,639,0.745714286,3.702857143,0.797142857,1.03,2.317142857,1.15,37,1888.427143,1242.201429,1.531428571,0.688571429,37.63428571,0.938571429,0.902857143,0.431428571,44.43285714,58.63142857,18.90428571,68.32857143,98.52,78.81571429,0.89,1.68,523.2,0.75,4.068,0.782,0.968,2.998,0.99,45.6,1596.4,773.814,2.784,0.48,26.244,0.972,0.982,0.384,29.372,73,35.236,51.356,114.734,91.788,0.586,1.146,619.3333333,0.773333333,4.093333333,0.82,1.16,2.566666667,1.12,45.33333333,1925.213333,1145.746667,1.906666667,0.56,37.66333333,0.936666667,1.03,0.406666667,36.32666667,74.42333333,25.22,67.56333333,120.4266667,96.34,0.84,1.506666667
NON/LtJ,119,134.5,118.5,27.5,38.5,197,0.023829433,55,151,106.5,36.5,41,134,0.085255147,0.166666667,0.1055,0.07675,0.011575,0.003225,0.0023,0.13775,0.8825,0.012025,0.1318,0.0918,0.01394,0.00546,0.00444,0.169,1.194,0.00954,0.004032526,0.002926461,0.00043692,0.000122922,9.32E-05,0.005286855,0.033672771,0.000456679,0.004924614,0.0034053,0.000514138,0.000200634,0.000165569,0.006294957,0.044043946,0.000358381,496.7,0.826,3.77,0.775,1.218,2.212,1.112,51.238,1428.015,766.935,2.4515,0.4985,41.592,1.0835,1.1055,0.419,44.5295,61.514,17.0585,72.9825,106.077,84.8635,0.817,1.433,581.6,0.98,3.84,0.836,1.306,2.43,1.094,43.4,2142.988,1017.39,2.196,0.484,36.76066667,1.185,1.203333333,0.434333333,31.26933333,63.73166667,21.04366667,67.19566667,130.8653333,104.6936667,0.848,1.552,576,0.844,3.918,0.85,1.252,2.452,1.094,43.7,1747.194,882.818,3.018,0.498,37.537,1.012,1.152,0.442,28.371,66.914,21.799,67.977,122.359,97.889,0.864,1.56,551.8,0.734,4.212,0.762,1.132,2.684,1.114,46.55,1973.344,1204.5,1.668,0.708,36.149,0.985,1.028,0.367,47.269,79.772,27.291,65.664,115.971,92.776,0.786,1.426
NZB/BlNJ,31,176,132,56,21,305,0.001841102,15,146,,32,25,122,0.000965204,0.25,0.116,0.0806,0.01535,0.002,0.003,0.1223,0.9039,0.00895,0.145,0.106633333,0.018666667,0.004033333,0.003766667,0.148333333,1.050666667,0.008866667,0.005238265,0.003638585,0.000691683,9.07E-05,0.000135863,0.005521614,0.040791118,0.000402349,0.006397826,0.004701884,0.000823971,0.000177701,0.000166133,0.006539675,0.04635564,0.000391802,584,0.744,3.714,0.878,1.212,2.226,1.176,45.1,1956.986,1197.378,1.698,0.607,40.38533333,0.8595,1.04,0.479666667,34.802,59.20133333,17.6965,70.96616667,105.526,84.421,0.93,1.626,680.3333333,0.883333333,3.686666667,0.86,1.556666667,1.62,1.46,35.04,1755.143333,1291.966667,1.42,0.75,55.98333333,1.042222222,1.071666667,0.47,76.46611111,57.97833333,7.582777778,86.75388889,115.0822222,92.06722223,1.603333333,2.486666667,645.3333333,0.793333333,4.146666667,0.863333333,1.263333333,2.31,1.403333333,40.62666667,2321.956667,1423.213333,1.645,0.611666667,44.73666667,0.925,0.901666667,0.42,62.54833333,76.75333333,19.89166667,75.34666667,129.5416667,103.6333333,1.12,1.873333333,639.6666667,0.743333333,4.276666667,0.836666667,1.456666667,2.31,1.37,41.08333333,2071.366667,1038.756667,1.981666667,0.53,46.19333333,0.9,1.066666667,0.393333333,64.87166667,82.24333333,19.35,77.00333333,128.2516667,102.5983333,1.133333333,1.883333333
NZW/LacJ,,,,,,,0.007997997,,,,,,,0.002070477,0.833333333,0.147666667,0.11,0.0161,0.0033,0.003533333,0.145,1.413333333,0.009366667,0.168,0.123,0.03,0.0032,0.002,0.174,1.52,0.0076,0.005324502,0.003974621,0.000577903,0.00011831,0.000126779,0.005200246,0.050598565,0.000336125,0.005472313,0.004006515,0.000977199,0.000104235,0.0000651,0.005667752,0.049511401,0.000247557,496,0.795,4.4075,0.705,1.1575,3.1175,1.1,55.75,1714.7775,1114.4625,1.6025,0.6475,29.21875,1.13375,1.07125,0.32125,56.3375,88.09,38.62875,56.04,125.99125,100.7925,0.5225,1.0125,679,0.9,4.1,1.09,2.16,1.61,1.8,34.25,1976.27,1687.06,1.17,0.85,60.67,0.83,1.2,0.53,65,74.29,7.32,90.14,165.61,132.48,1.77,2.63,546,0.98,4.65,0.85,1.64,2.84,1.42,47.25,1363.19,930.96,1.465,0.685,38.82,1.16,1.15,0.36,67.74,99.75,30.7,69.22,180.3,144.24,0.82,1.46,512,0.9,4.61,0.82,1.42,2.79,1.24,50.25,2108.55,600.45,3.51,0.28,39.43,1.1,1.175,0.355,52.67,97.735,29.31,69.895,163.565,130.855,0.78,1.39
PL/J,,,,,,,0.037182956,,,,,,,0.191926213,0.5,0.0865,0.0625,0.01075,0.0017,0.0009,0.105,0.78,0.00645,0.124833333,0.079333333,0.018,0.003266667,0.003333333,0.137,0.834333333,0.007666667,0.004880165,0.003526508,0.000605647,9.67E-05,0.0000492,0.005910268,0.044118493,0.000364155,0.006860099,0.004380399,0.000984615,0.000179955,0.000184879,0.00762038,0.046490573,0.000424688,404,0.656666667,3.495,0.763333333,0.843333333,2.451666667,1.016666667,,931.9966667,546.0366667,1.858333333,0.611666667,30.44833333,0.896666667,0.866666667,0.438333333,33.4,51.41333333,22.54833333,58.345,81.22666667,64.98333333,,,549.25,0.6775,3.6,0.8,0.8975,2.29,1.16,,1125.4425,539.055,2.1475,0.5,36.775,0.845,0.77,0.4475,45.8675,55.0575,18.745,67.1325,88.3525,70.68,,,548.6666667,0.703333333,3.986666667,0.666666667,0.95,2.606666667,1.02,49.16666667,1316.963333,619.5066667,2.096666667,0.493333333,34.42333333,1.083333333,0.933333333,0.333333333,51.95333333,69.40666667,24.86,63.78666667,95.52,76.41333333,0.713333333,1.316666667,531,0.52,4.115,0.765,0.975,2.475,1.15,47.5,883.105,319.03,2.77,0.36,39.985,0.77,0.895,0.385,57.045,75.92,22.27,71.07,90.695,72.555,0.855,1.515
RIIIS/J,47,79.5,61,13,27.5,135,0.033639754,16,102.5,95,17,28.5,130.5,0.136352735,0.25,0.07465,0.0516,0.0091,0.001675,0.00105,0.1045,0.7795,0.0101,0.103975,0.074325,0.0119,0.00265,0.002425,0.12105,0.81375,0.00865,0.00434693,0.003002918,0.000527709,0.000097384,0.000061125,0.006089329,0.045402056,0.000587445,0.006075198,0.004344303,0.00069009,0.000155356,0.000139427,0.007069656,0.047619093,0.000507861,531.7,0.658,3.554,0.652,0.989,2.232,0.938,49.188,1145.718,667.57,2.0465,0.6075,37.7195,1.0425,1.07,0.374,44.604,53.391,18.041,68.024,73.771,59.017,0.779,1.4,601.1666667,0.653333333,3.846666667,0.628333333,0.951666667,2.561666667,0.911666667,41.83333333,1652.185,831.9166667,2.265,0.505833333,33.575,1.051666667,1.041666667,0.329444445,44.86,63.93277778,24.29722222,62.64333333,81.76777778,65.41166667,0.806666667,1.505,564,0.615,4.0675,0.7175,0.9275,2.49,1.02,46.5625,1426.74,559.075,2.705,0.39,38.75,0.85875,0.9225,0.35375,45.4125,73.10875,22.32875,69.5225,95.2,76.16125,0.8475,1.5125,602.25,0.75,3.995,0.715,0.955,2.665,1.055,44,1155.3525,837.42,1.5125,0.7175,33.4575,1.0525,0.90125,0.36,49.08625,70.07625,26.61,62.395,103.525,82.8225,0.76,1.4175
SEA/GnJ,49,105,88,19,30,146,0,36,129,125,23,35,141,0.025802796,0.555555556,0.123133333,0.086333333,0.014666667,0.0029,0.0022,0.158666667,1.04,0.015266667,0.171475,0.11675,0.018075,0.005325,0.0036,0.177375,1.108975,0.00965,0.004860689,0.003414222,0.000570142,0.000114899,8.58E-05,0.006267104,0.040743776,0.000594257,0.007283129,0.004936861,0.000759914,0.00022267,0.000152843,0.007593349,0.047620279,0.000418969,456.1428571,0.751428571,4.015714286,0.777142857,1.045714286,2.771428571,1.074285714,53.10714286,1634.761429,727.8171429,2.410952381,0.453809524,31.49880952,0.97547619,0.977380952,0.388809524,38.99380952,71.48738095,30.34,59.17309524,111.0911905,88.87166667,0.591428571,1.115714286,557.75,0.84,4.34,0.8825,1.275,2.65,1.29,43.125,2166.4725,1469.1275,1.555,0.66125,38.96708333,0.952916667,0.994166667,0.41,46.285,85.58458333,26.72791667,68.85166667,148.86875,119.0941667,0.9,1.595,559.25,0.945,4.19,0.9775,1.5775,2.15,1.495,48.1875,2084.535,1714.3375,1.285,0.81125,48.94958333,0.971666667,1.070416667,0.468333333,53.19583333,79.11333333,16.32333333,80.04166667,165.04625,132.0370833,1.0275,1.675,589.75,0.9125,4.29,1.015,1.45,2.3475,1.52,44.3125,2468.8625,1956.9775,1.555,0.74375,45.69,0.93375,0.950416667,0.48,54.79,84.08666667,20.56166667,76.795,171.0495833,136.8395833,1.0375,1.7375
SJL/J,,,,,,,,,,,,,,,0.5,0.087,0.0575,0.0105,0.0021,0.00155,0.115,0.91,0.0072,0.123333333,0.080633333,0.013866667,0.004233333,0.003,0.141,1.12,0.010866667,0.004662354,0.003084047,0.000562935,0.000112072,0.0000832,0.006164658,0.048713251,0.00038697,0.006161804,0.00402762,0.000675805,0.000213054,0.000149388,0.007050058,0.056038948,0.000535739,479.1666667,0.613333333,3.686666667,0.59,0.971666667,2.233333333,0.968333333,,879.96,378.545,2.635,0.425,39.39833333,1.065,1.015,0.32,63.44333333,58.15,17.43,69.99666667,71.68166667,57.34666667,,,532,0.6575,3.955,0.685,1.02,2.4625,0.9825,,1353.855,729.4025,2.03,0.5475,37.84875,0.96,1.04375,0.34875,43.59875,68.39,21.565,68.55875,91.93125,73.545,,,590,0.623333333,4.346666667,0.61,0.956666667,2.916666667,0.95,42.08333333,1358.993333,686.2133333,2.003333333,0.513333333,33.14666667,1.04,1.006666667,0.283333333,59.20333333,85.82333333,33.53,61.72,96.08666667,76.87,0.783333333,1.466666667,424.5,0.56,3.92,0.615,0.725,3.01,0.71,43.5,799.875,721.275,1.455,1.3,23.34,0.915,1.02,0.315,15.515,66.885,35.22,47.3,75.8,60.64,0.535,1.09
SM/J,44,83,54,19,41,141,0.025375859,69,94,57,19,50,145,0.023457616,0,0.086666667,0.060666667,0.011166667,0.0019,0.0019,0.102333333,0.696666667,0.008533333,0.119833333,0.085333333,0.013233333,0.0033,0.0034,0.128333333,0.878333333,0.006133333,0.005440559,0.003807049,0.000698836,0.000118941,0.000119289,0.006413713,0.043711368,0.000535775,0.00741575,0.005279532,0.000816682,0.000204133,0.00021186,0.007936708,0.054324092,0.000379216,526,0.686666667,3.471666667,0.755,1.1,2.13,1.036666667,47.66666667,2269.015,1463.625,1.598333333,0.666666667,38.5475,0.911666667,1.074166667,0.436666667,37.29583333,49.915,15.10916667,69.535,80.70583333,64.56166667,0.811666667,1.461666667,574.3333333,0.956666667,3.713333333,0.793333333,1.37,2.246666667,1.22,46.20666667,1676.55,1065.656667,1.851666667,0.615,39.775,1.211111111,1.114444444,0.429444444,54.46055556,58.79666667,17.71666667,70.67388889,117.1072222,93.68666667,0.876666667,1.55,599.6666667,0.82,3.916666667,0.85,1.273333333,2.216666667,1.293333333,44.12666667,2573.23,2127.883333,1.226666667,0.833333333,43.47333333,0.976666667,0.998333333,0.434444444,54.28833333,66.71,16.94388889,74.65833333,120.3238889,96.25611111,0.983333333,1.696666667,617.6666667,0.743333333,4.003333333,0.793333333,1.086666667,2.43,1.21,42.16666667,2345.506667,1821.43,1.296666667,0.773333333,39.46777778,0.947777778,0.901666667,0.398333333,53.92611111,70.36777778,21.25833333,70.23111111,110.8833333,88.70666667,0.936666667,1.67
SWR/J,62,87.5,58,15.5,36.5,184,0.02805667,31,105,70,21.33333333,21.33333333,149,0.021077352,0.555555556,0.094475,0.0657,0.011725,0.00185,0.002175,0.138,0.92375,0.0092,0.11725,0.084625,0.0139,0.00425,0.00265,0.15525,1.03825,0.008375,0.004835038,0.003367197,0.000603369,9.53E-05,0.000112034,0.007084659,0.047385191,0.000470041,0.00620648,0.004509269,0.00072162,0.000226142,0.000137482,0.008244115,0.05522813,0.000443836,522.75,0.73625,3.6125,0.71625,1.10625,2.24875,1,48.5625,1502.545,1027.425,1.6025,0.681875,37.6775,1.044791667,1.129791667,0.406041667,41.13791667,55.634375,17.63104167,68.39583333,86.81520833,69.45375,0.7775,1.41375,604.5,0.8725,3.435,0.9325,1.2825,1.985,1.255,40.5625,2670.635,1683.395,1.705,0.61375,42.5225,0.95,1.04375,0.55,34.59875,49.0075,13.0875,74.2175,108.0125,86.41,1.0575,1.84,558.5,0.8425,3.7225,0.9375,1.3425,2.03,1.36,47,1947.0425,1275.79,1.59,0.65,45.60375,0.9425,1.005416667,0.509583333,48.94291667,59.36583333,13.67958333,77.2925,121.4766667,97.18083333,0.98,1.6575,597.25,0.8025,3.9725,0.785,1.16,2.4675,1.105,45.125,2469.33,2199.115,1.59125,0.81875,37.925,1.04625,1.0625,0.39875,42.55125,69.38,21.9525,68.5975,116.02375,92.82,0.8425,1.5225
